15;burdur         ;649;987;166;1403;762;421;122;1391;286;394;351;1169;1360;561;0;422;589;564;670;168;1180;826;1031;1038;1223;300;865;1034;1141;1559;846;30;576;594;390;1426;670;593;803;591;484;296;241;932;369;847;1198;241;1278;514;534;989;1243;446;842;1367;841;789;725;811;1164;1161;1004;169;1494;645;628;438;1162;410;504;1280;1369;684;1444;1547;485;614;901;738;515
16;bursa          ;857;1111;278;1417;683;385;544;1293;441;152;95;1261;1452;272;422;0;269;504;635;435;1273;428;1123;1052;1238;152;1026;936;1095;1720;1054;424;850;244;325;1440;518;688;443;555;131;504;182;1025;289;951;1360;540;1371;648;710;891;1145;157;744;1459;699;836;378;775;1066;1176;1165;320;1587;609;339;594;1135;618;469;1372;1530;427;1402;1561;69;405;1090;946;225
17;canakkale      ;1097;1390;518;1694;959;665;696;1569;451;194;374;1540;1732;548;589;269;0;781;914;475;1552;232;1403;1329;1514;431;1306;1213;1371;2000;1293;591;1089;316;330;1716;795;967;246;834;396;744;421;1304;331;1230;1639;550;1650;927;982;1168;1421;433;1021;1739;975;1116;182;1054;1342;1452;1444;420;1866;888;615;873;1411;857;748;1651;1809;703;1678;1838;334;682;1349;1186;502
18;cankiri        ;591;769;398;987;247;131;686;882;738;663;447;920;1111;232;564;504;781;0;156;619;931;727;782;622;807;376;685;525;684;1379;783;566;583;495;727;1009;106;347;704;214;385;354;455;684;706;609;1018;762;1029;306;389;480;733;347;333;1118;277;444;626;336;655;745;823;510;1214;245;292;322;704;466;105;1031;1189;278;991;1131;450;192;748;680;279
19;corum          ;582;704;505;831;91;240;732;720;845;786;563;763;955;349;670;635;914;156;0;726;775;844;606;466;651;483;620;363;522;1255;718;628;575;612;833;854;193;281;821;221;501;419;561;527;812;544;870;868;873;295;377;318;572;464;172;962;264;289;743;180;493;589;758;617;1059;108;409;330;548;530;169;874;1068;374;829;975;567;309;683;646;396
20;denizli        ;762;1100;221;1516;817;477;221;1446;124;285;406;1282;1473;617;168;435;475;619;726;0;1293;702;1144;1151;1336;355;978;1089;1248;1672;959;169;689;649;228;1539;725;706;717;646;539;409;296;1046;207;960;1311;145;1391;628;647;1044;1298;502;897;1480;897;902;652;866;1219;1274;1117;153;1607;700;683;551;1275;523;560;1393;1482;739;1557;1660;499;669;1014;851;570
21;diyarbakir     ;538;206;1110;440;707;900;1086;511;1412;1424;1201;142;208;1088;1180;1273;1552;931;775;1293;0;1583;153;407;316;1121;322;675;517;484;516;1150;607;1351;1439;520;961;582;1560;717;1241;889;1207;247;1418;369;95;1396;249;665;717;720;566;1203;836;187;962;493;1482;597;618;279;177;1222;367;713;1165;742;441;831;826;100;294;1142;545;544;1306;1077;377;445;1135
22;edirne         ;1183;1421;682;1641;906;685;923;1516;670;419;480;1572;1763;495;826;428;232;727;844;702;1583;0;1434;1275;1461;555;1337;1159;1318;2031;1380;828;1176;232;549;1663;741;999;68;866;345;909;586;1336;556;1261;1670;769;1681;958;1041;1114;1368;380;967;1770;922;1125;148;1017;1289;1399;1475;642;1868;897;562;915;1358;1022;757;1683;1841;650;1625;1785;410;628;1400;1272;448
23;elazig         ;496;284;961;492;538;751;1054;512;1263;1274;1052;141;332;939;1031;1123;1403;782;606;1144;153;1434;0;267;317;971;340;556;397;632;474;1001;565;1202;1290;522;792;433;1411;568;1092;740;1058;98;1268;321;247;1286;251;516;568;601;568;1054;667;339;793;324;1333;427;499;138;319;1073;467;544;1015;592;395;741;677;252;446;972;547;636;1157;907;403;403;986
24;erzincan       ;677;548;955;370;375;690;1061;377;1270;1211;996;272;463;781;1038;1052;1329;622;466;1151;407;1275;267;0;191;933;604;294;136;795;755;1008;746;1043;1284;393;625;451;1252;575;933;747;1012;362;1263;581;502;1293;382;523;575;339;306;896;451;559;595;253;1174;309;237;129;573;1067;598;476;840;600;157;748;620;468;655;806;412;514;998;741;667;683;827
25;erzurum        ;809;522;1141;182;560;876;1246;195;1455;1397;1181;177;352;966;1223;1238;1514;807;651;1336;316;1461;317;191;0;1119;654;359;201;607;788;1193;879;1229;1469;205;810;636;1438;761;1118;932;1197;412;1448;634;410;1479;270;709;760;404;250;1081;551;447;714;438;1360;494;302;239;493;1253;410;662;1026;785;125;933;805;370;544;991;230;326;1184;926;692;717;1013
26;eskisehir      ;691;959;141;1298;574;234;421;1203;474;303;80;1109;1300;290;300;152;431;376;483;355;1121;555;971;933;1119;0;874;846;1005;1568;887;302;683;323;414;1321;482;536;532;403;213;338;79;873;393;799;1208;498;1219;496;558;801;1055;176;654;1308;654;684;454;623;976;1057;1013;217;1435;457;357;442;1058;451;317;1220;1378;445;1340;1442;215;426;938;780;244
27;gaziantep      ;216;151;795;762;583;654;764;849;1097;1119;955;478;530;842;865;1026;1306;685;620;978;322;1337;340;604;654;874;0;700;760;694;195;835;285;1105;1124;859;791;336;1314;471;994;574;892;242;1103;78;333;1074;587;419;426;687;897;957;712;505;838;408;1236;472;818;475;139;907;689;535;918;485;732;509;580;418;504;938;883;865;1060;868;64;123;889
28;giresun        ;720;706;868;539;322;603;1096;357;1208;1095;879;536;711;664;1034;936;1213;525;363;1089;675;1159;556;294;359;846;700;0;159;963;798;992;790;927;1197;561;489;494;1136;585;817;782;925;538;1176;624;769;1232;629;567;618;45;209;779;192;806;355;296;1058;260;130;417;789;980;766;472;702;693;234;791;533;729;903;669;466;683;882;601;763;726;711
29;gumushane      ;780;678;1027;381;424;762;1164;320;1367;1254;1038;378;553;823;1141;1095;1371;684;522;1248;517;1318;397;136;201;1005;760;159;0;805;858;1111;850;1086;1356;403;648;554;1295;679;976;850;1084;492;1334;684;611;1390;471;627;678;204;172;938;351;648;514;356;1217;358;102;259;704;1139;608;580;861;703;76;851;691;571;744;828;422;525;1041;760;823;786;870
